DATA;HORA;CONSUM (Wh)
2016-09-04;9;679
2016-09-04;10;495
2016-09-04;11;496
2016-09-04;12;418
2016-09-04;13;580
2016-09-04;14;921
2016-09-04;15;636
2016-09-04;16;894
2016-09-04;17;403
2016-09-04;18;454
2016-09-04;19;564
2016-09-04;20;904
2016-09-04;21;1444
2016-09-04;22;500
2016-09-04;23;456
;;
2016-09-05;0;422
2016-09-05;1;409
2016-09-05;2;398
2016-09-05;3;383
2016-09-05;4;437
2016-09-05;5;386
2016-09-05;6;434
2016-09-05;7;1004
2016-09-05;8;1790
2016-09-05;9;946
2016-09-05;10;380
2016-09-05;11;514
2016-09-05;12;575
2016-09-05;13;889
2016-09-05;14;516
2016-09-05;15;390
2016-09-05;16;452
2016-09-05;17;381
2016-09-05;18;438
2016-09-05;19;543
2016-09-05;20;1367
2016-09-05;21;1349
2016-09-05;22;534
2016-09-05;23;474
;;
2016-09-06;0;419
2016-09-06;1;448
2016-09-06;2;393
2016-09-06;3;477
2016-09-06;4;405
2016-09-06;5;425
2016-09-06;6;460
2016-09-06;7;517
2016-09-06;8;427
2016-09-06;9;580
2016-09-06;10;544
2016-09-06;11;457
2016-09-06;12;603
2016-09-06;13;485
2016-09-06;14;452
2016-09-06;15;1986
2016-09-06;16;1451
2016-09-06;17;399
2016-09-06;18;437
2016-09-06;19;450
2016-09-06;20;1262
2016-09-06;21;1393
2016-09-06;22;530
2016-09-06;23;434
;;
2016-09-07;0;460
2016-09-07;1;422
2016-09-07;2;454
2016-09-07;3;390
2016-09-07;4;469
2016-09-07;5;403
2016-09-07;6;465
2016-09-07;7;1588
2016-09-07;8;1309
2016-09-07;9;420
2016-09-07;10;470
2016-09-07;11;495
2016-09-07;12;455
2016-09-07;13;942
2016-09-07;14;364
2016-09-07;15;429
2016-09-07;16;473
2016-09-07;17;379
2016-09-07;18;472
2016-09-07;19;428
2016-09-07;20;1476
2016-09-07;21;1198
